#qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	db_hit_len	pct_hit_len_aligned	hit_descr
TRINITY_DN84414_c0_g2_i3	AT2G18960.1	78.889	270	51	6	64	330	1431	1697	1.92E-45	178	267	9.37	| Symbols:HA1,OST2,AHA1,PMA | H(+)-ATPase 1,PLASMA MEMBRANE PROTON ATPASE,OPEN STOMATA 2 | Chr2:8221858-8227268 FORWARD LENGTH=2850
TRINITY_DN84414_c0_g2_i1	AT2G18960.1	78.889	270	51	6	64	330	1431	1697	1.74E-45	178	267	9.37	| Symbols:HA1,OST2,AHA1,PMA | H(+)-ATPase 1,PLASMA MEMBRANE PROTON ATPASE,OPEN STOMATA 2 | Chr2:8221858-8227268 FORWARD LENGTH=2850
TRINITY_DN84414_c0_g2_i4	AT2G18960.1	78.889	270	51	6	64	330	1431	1697	1.75E-45	178	267	9.37	| Symbols:HA1,OST2,AHA1,PMA | H(+)-ATPase 1,PLASMA MEMBRANE PROTON ATPASE,OPEN STOMATA 2 | Chr2:8221858-8227268 FORWARD LENGTH=2850
TRINITY_DN87453_c2_g2_i13	AT1G16540.1	82.609	207	36	0	1443	1649	1486	1280	1.74E-47	183	207	8.41	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i5	AT1G16540.1	82.609	207	36	0	1689	1895	1486	1280	2E-47	183	207	8.41	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN80425_c0_g1_i3	AT4G19230.2	85	120	16	2	866	984	1301	1183	9.4E-29	121	119	8.18	"| Symbols:CYP707A1 | ""cytochrome P450, family 707, subfamily A, polypeptide 1"" | Chr4:10521524-10523566 FORWARD LENGTH=1455"
TRINITY_DN53748_c0_g2_i1	AT4G33950.1	90.123	81	8	0	1	81	510	590	2.65E-24	106	81	7.44	| Symbols:SNRK2.6,SRK2E,ATOST1,P44,SNRK2-6,OST1 | SNF1-RELATED PROTEIN KINASE 2.6,OPEN STOMATA 1,SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-6 | Chr4:16272364-16274657 FORWARD LENGTH=1089
TRINITY_DN183863_c0_g1_i1	Y17186.1_cds_CAA76677.1_1	88.235	85	10	0	461	545	1111	1027	1.62E-23	102	85	6.94	[gene=eIF-4A] [db_xref=GOA:O65879,HSSP:1FUK,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR014021,UniProtKB/TrEMBL:O65879] [protein=translation initiation factor] [protein_id=CAA76677.1] [location=80..1303] [gbkey=CDS]
TRINITY_DN42723_c0_g2_i1	Y17186.1_cds_CAA76677.1_1	87.952	83	10	0	472	554	1021	1103	2.13E-22	99	83	6.78	[gene=eIF-4A] [db_xref=GOA:O65879,HSSP:1FUK,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR014021,UniProtKB/TrEMBL:O65879] [protein=translation initiation factor] [protein_id=CAA76677.1] [location=80..1303] [gbkey=CDS]
TRINITY_DN42723_c0_g1_i1	Y17186.1_cds_CAA76677.1_1	87.952	83	10	0	471	553	1021	1103	2.13E-22	99	83	6.78	[gene=eIF-4A] [db_xref=GOA:O65879,HSSP:1FUK,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR014021,UniProtKB/TrEMBL:O65879] [protein=translation initiation factor] [protein_id=CAA76677.1] [location=80..1303] [gbkey=CDS]
TRINITY_DN127799_c0_g1_i1	AT4G37870.1	90.588	85	8	0	248	332	1117	1033	4.47E-27	113	85	4.22	| Symbols:PCK1,PEPCK | PHOSPHOENOLPYRUVATE CARBOXYKINASE,phosphoenolpyruvate carboxykinase 1 | Chr4:17802974-17806332 REVERSE LENGTH=2016
TRINITY_DN62880_c0_g1_i2	AT1G78580.1	88.372	86	9	1	4	89	1457	1373	1.29E-23	102	85	3	| Symbols:TPS1,ATTPS1 | trehalose-6-phosphate synthase,TREHALOSE-6-PHOSPHATE SYNTHASE 1 | Chr1:29552495-29557482 REVERSE LENGTH=2829
TRINITY_DN62880_c0_g1_i1	AT1G78580.1	88.372	86	9	1	4	89	1457	1373	1.3E-23	102	85	3	| Symbols:TPS1,ATTPS1 | trehalose-6-phosphate synthase,TREHALOSE-6-PHOSPHATE SYNTHASE 1 | Chr1:29552495-29557482 REVERSE LENGTH=2829
